probe_id,matched_peak,distance_bp,within_threshold
cg10249637,BRCA_92234,496,True
cg03850936,,9400,False
cg04131969,,40611,False
cg06161600,,13385,False
cg02253760,,68661,False
cg03120555,,6152,False
cg09374838,,2964,False
cg02090762,,16618,False
cg10296238,,937182,False
cg06045337,,6290,False
cg05684406,,64339,False
cg06916001,,2801,False
cg07616879,,844019,False
cg02639181,,14791,False
cg04008888,,10268,False
cg08711175,,2797,False
cg07486474,,10790,False
cg01324372,BRCA_210865,1226,True
cg10327440,,48076,False
cg10304922,,13581,False
cg10286969,,3011,False
cg06060135,BRCA_57651,994,True
cg07371589,,21321,False
cg01239704,,7849,False
cg05191879,,3885,False
cg02629106,,10877,False
cg11376305,BRCA_196553,670,True
cg00916884,BRCA_168524,1144,True
cg05527869,,4806,False
cg10178270,,19610,False
cg01791371,BRCA_72608,896,True
cg06304518,,49338,False
cg11843238,,29666,False
cg00892742,,5275,False
cg09469554,,31318,False
cg05302386,BRCA_153059,1597,True
cg09714458,,8376,False
cg07366506,,26925,False
cg11203512,,21199,False
cg07205203,,11794,False
cg08763705,,7587,False
cg03351460,,6877,False
cg03851965,,15756,False
cg03415617,,130751,False
cg07791866,BRCA_168532,155,True
cg06436185,BRCA_91789,719,True
cg05799507,,2830,False
cg04609841,,4910,False
cg10884288,,9919,False
cg08750951,,3751,False
cg09495643,BRCA_188587,29,True
cg09053680,,1256747,False
cg04780572,,12511,False
cg04399751,,7497,False
cg10864145,BRCA_59529,34,True
cg03480346,BRCA_23519,119,True
cg05696706,,6268,False
cg10530883,BRCA_57651,497,True
cg05951576,,5249,False
cg02005490,,11086,False
cg05135549,,2492,False
cg09296001,,5879,False
cg01140416,,38336,False
cg07016276,,10905,False
cg04037038,,31714,False
cg09106903,,5807,False
cg05306745,,21842,False
cg01963754,BRCA_150761,1590,True
cg10356613,,4791,False
cg09705457,,6578,False
cg02143877,,11232,False
cg08000118,BRCA_106980,285,True
cg08768852,,18254,False
cg11595545,BRCA_9244,1345,True
cg11953245,,14862,False
cg04507515,,6429,False
cg01736164,,6935,False
cg00039441,,64433,False
cg03277455,,2025,False
cg09028204,BRCA_201090,1587,True
cg02770054,,2748,False
cg02837536,,16207,False
cg04784471,,3217,False
cg05839377,BRCA_59473,95,True
cg10034890,,24596,False
cg09493505,,12908,False
cg07687131,,2448,False
cg00582971,,2276,False
cg07229186,BRCA_168524,1385,True
cg02088626,,6265,False
cg00713939,,5975,False
cg07703462,,2993,False
cg04633922,,18259,False
cg04809453,,4772,False
cg05327835,BRCA_49943,1307,True
cg04088969,,24534,False
cg02394578,,6218,False
cg00974761,,5779,False
cg03401096,BRCA_136034,621,True
cg10606490,BRCA_135016,1501,True
cg07976064,,2795,False
cg08822417,,4464,False
cg09841842,,14676,False
cg10130446,,47744,False
cg10747118,BRCA_48227,1689,True
cg01643123,BRCA_141861,100,True
cg06023661,,2169,False
cg07533148,,57734,False
cg07896832,,9118,False
cg08822897,,5507,False
cg07592963,BRCA_125868,173,True
cg01685242,,9598,False
cg01565320,,50858,False
cg07302069,,3971,False
cg03616722,BRCA_150791,933,True
cg05822532,,6202,False
cg10501210,BRCA_17474,950,True
cg08911275,,64422,False
cg01535733,,111595,False
cg08605326,,14303,False
cg08856842,,18194,False
cg06966660,,7361,False
cg07688604,,13577,False
cg03232056,,28569,False
cg07821427,,36223,False
cg03347632,BRCA_19963,711,True
cg07519235,,4134,False
cg03787864,,2326,False
cg06234051,,6885,False
cg00199007,,45005,False
cg10603275,,3859,False
cg03813164,,24211,False
cg04025049,,11085,False
cg05373251,,30503,False
cg02221866,BRCA_69330,199,True
cg07909759,,29319,False
cg08575537,,6020,False
cg06156093,BRCA_15049,310,True
cg11853788,,9842,False
cg07769421,,2981,False
cg06282270,BRCA_129079,1318,True
cg04904331,,12830,False
cg10541864,,11235,False
cg06943420,BRCA_232,552,True
cg10334750,,6547,False
cg07480647,,6957,False
cg08123444,,2102,False
cg08163199,,2197,False
cg06906472,,36360,False
cg02773041,,40801,False
cg04048259,,25099,False
cg06641285,,21826,False
cg09695735,BRCA_179684,46,True
cg03847932,,10626,False
cg10754395,BRCA_92247,1783,True
cg03306374,BRCA_166932,835,True
cg06443533,,16720,False
cg02423318,,33146,False
cg09442654,,6483,False
cg11664500,,5098,False
cg03277049,BRCA_46555,1323,True
cg00083596,,9423,False
cg10546176,BRCA_58987,46,True
cg11716106,BRCA_195996,1728,True
cg06945936,,15553,False
cg03044249,BRCA_86694,877,True
cg03753331,,308842,False
cg10941566,,28053,False
cg01117269,,18685,False
cg05562381,,3659,False
cg05982460,,4046,False
cg09172548,BRCA_137244,1632,True
cg03397307,BRCA_137244,1430,True
cg05593887,,7427,False
cg02776659,,1049414,False
cg09827752,,13448,False
cg08105834,,20266,False
cg03736795,,6654,False
cg09360770,,9593,False
cg06421774,,27468,False
cg11108115,,2877,False
cg10485664,,48720,False
cg10805850,,8202,False
cg07997936,BRCA_69392,24,True
cg06946452,,7870,False
cg09229918,BRCA_164683,414,True
cg00373707,,15152,False
cg05663341,,20271,False
cg02503159,BRCA_67300,15,True
cg04283162,,39491,False
cg11014373,,5889,False
cg07293445,,18242,False
cg08708961,,16176,False
cg11347582,,4303,False
cg11544692,,2477,False
cg07697895,,8224,False
cg03017520,,257606,False
cg05417127,BRCA_164633,50,True
cg11660879,,42092,False
cg00078968,,2723,False
cg09527126,,86310,False
cg03942855,BRCA_9168,208,True
cg08478151,BRCA_129683,120,True
cg05649108,,6103,False
cg04568492,,2793,False
cg06733794,,7457,False
cg03604011,BRCA_57344,138,True
cg10069493,,57208,False
cg04599026,,20168,False
cg10732215,BRCA_117440,986,True
cg06417478,BRCA_191121,1905,True
cg08162372,,2253,False
cg05375728,,12179,False
cg04508482,BRCA_49943,1202,True
cg05990549,,35667,False
cg04550737,BRCA_9935,1479,True
cg02848961,,3616,False
cg08880849,BRCA_176401,244,True
cg09599843,,42256,False
cg06042504,,14077,False
cg01642521,,7958,False
cg06924241,,8676,False
cg09777525,BRCA_181929,462,True
cg08000684,BRCA_190800,537,True
cg11487526,,85370,False
cg03949284,BRCA_70461,287,True
cg00241712,BRCA_210960,952,True
cg10762626,,121889,False
cg04988514,,7298,False
cg01567173,,4733,False
cg09474331,,26003,False
cg10244976,BRCA_164381,297,True
cg07011778,BRCA_106980,146,True
cg00494919,,1233455,False
cg06746893,,38496,False
cg06315208,BRCA_69965,267,True
cg07176264,,2716,False
cg01371233,,2620,False
cg05923595,,16177,False
cg09246479,BRCA_208554,1085,True
cg07034362,,5811,False
cg08578734,,42698,False
cg04243827,,36136,False
cg00698906,BRCA_178173,565,True
cg00289546,,22046,False
cg06355129,,3286,False
cg08328777,,8559,False
cg05991492,,5498,False
cg05543030,,2940,False
cg08231710,BRCA_232,564,True
cg09632273,BRCA_70193,489,True
cg03657573,,7110,False
cg07376381,BRCA_4041,212,True
cg00107982,,4725,False
cg08068820,BRCA_190800,541,True
cg09980176,BRCA_190800,1613,True
cg00244745,,2554,False
cg10317717,,9665,False
cg11430157,,29917,False
cg08196968,,8352,False
cg04115680,BRCA_87142,586,True
cg02809409,,2666,False
cg04301104,BRCA_153866,151,True
cg02192967,,30253,False
cg11592503,,246805,False
cg05507490,,704867,False
cg09016242,,17747,False
cg06106599,BRCA_131433,91,True
cg10662314,BRCA_141168,48,True
cg01438365,BRCA_179832,1783,True
cg04557423,,5225,False
cg07105596,BRCA_203534,1657,True
cg09873164,,13722,False
cg04837438,BRCA_28677,371,True
cg07339236,BRCA_202236,314,True
cg07589773,BRCA_85711,1058,True
cg02267536,,6408,False
cg01779765,,26184,False
cg01566526,,5629,False
cg03048654,,20165,False
cg01696784,,3718,False
cg06437840,,18464,False
cg08111446,,11260,False
cg10271061,,5769,False
cg10375890,,18975,False
cg00672333,,2809,False
cg01072076,BRCA_57562,439,True
cg07014673,,2637,False
cg09179211,,3936,False
cg10305311,,31274,False
cg11542224,,8849,False
cg00665492,,10336,False
cg09491991,,3316,False
cg03440799,,2342,False
cg10512745,,10944,False
cg03637878,,8108,False
cg04701034,,12332,False
cg08825929,,3666,False
cg09461420,,2161,False
cg08243728,BRCA_195944,1992,True
cg10393811,,69552,False
cg08198040,,166175,False
cg03784363,,16799,False
cg09999194,,3363,False
cg04632671,,10872,False
cg08847173,BRCA_3868,1249,True
cg04140663,,3694,False
cg05600740,BRCA_141689,630,True
cg03889013,,356122,False
cg04908380,BRCA_5763,1433,True
cg10064060,BRCA_166245,1757,True
cg04579966,,76713,False
cg03791955,,4987,False
cg11694519,,4679,False
cg10741025,,3457,False
cg06072021,,10946,False
cg11749010,,14902,False
cg08421126,BRCA_25208,1381,True
cg03667968,,36052,False
cg10342963,BRCA_163771,514,True
cg00399591,BRCA_166428,203,True
cg04787024,BRCA_29090,739,True
cg07956515,BRCA_83474,1813,True
cg03806038,,8382,False
cg09385093,,9124,False
cg10180415,BRCA_9761,1533,True
cg00011616,,5127,False
cg05920961,,2919,False
cg07347092,,2171,False
cg01536987,,12835,False
cg11560280,,22986,False
cg10617909,,32742,False
cg00063471,,4560,False
cg06537894,BRCA_191200,199,True
cg03730533,,24252,False
cg02623991,,26377,False
cg11539674,,37370,False
cg04120272,,13436,False
cg00778995,,2328,False
cg03389653,,16567,False
cg09417355,,3024,False
cg05972871,BRCA_137244,1409,True
cg03917138,,7244,False
cg03035213,,8105,False
cg03189821,,3183,False
cg01054755,,2662,False
cg06502570,,2285,False
cg02300154,BRCA_86694,870,True
cg11445123,,6426,False
cg07188523,,10294,False
cg03602280,BRCA_185009,716,True
cg08355260,,5737,False
cg11377136,BRCA_211541,497,True
cg04993975,,4810,False
cg05083852,BRCA_170051,497,True
cg03126579,BRCA_189256,125,True
cg09792926,,16711,False
cg03687070,,7617,False
cg04187185,BRCA_59529,245,True
cg04804877,BRCA_137244,1628,True
cg09065876,BRCA_177608,510,True
cg01791874,BRCA_58325,939,True
cg03259564,,5981,False
cg08464190,,17462,False
cg10842339,,44654,False
cg00469207,,33913,False
cg10076031,,10647,False
cg07411620,,55719,False
cg02174092,,2517,False
cg07113642,,6210,False
cg02872545,,8039,False
cg05211768,BRCA_162657,1347,True
cg09651145,,79974,False
cg03814872,BRCA_67616,361,True
cg08647349,,7619,False
cg06445348,,3902,False
cg00036011,BRCA_69452,227,True
cg10592478,,11076,False
cg09684233,,25234,False
cg00620018,,17983,False
cg00904966,,2599,False
cg01030534,,41244,False
cg00091827,,3795,False
cg09392940,,23479,False
cg07881405,BRCA_57652,946,True
cg03011658,,48687,False
cg03446244,,35899,False
cg02893180,,112435,False
cg01663018,,25510,False
cg05206884,,5044,False
cg08786003,,8203,False
cg10196720,,132324,False
cg10819004,,12014,False
cg08217024,,113803,False
cg01379240,,7652,False
cg01046104,,2711,False
cg11331678,,8916,False
cg07846220,BRCA_184722,138,True
cg02409878,,17137,False
cg04111064,,7748,False
cg00481499,,6069,False
cg04500819,,11609,False
cg10983199,BRCA_21046,61,True
cg04108939,,3204,False
cg10504392,,2111,False
cg03420013,,17823,False
cg03151810,BRCA_107097,597,True
cg07078958,BRCA_38616,287,True
cg08782481,BRCA_69693,33,True
cg02501410,,8654,False
cg08464831,,6133,False
cg00907288,BRCA_37857,1803,True
cg06238661,,77346,False
cg00840341,,2841,False
cg02181080,BRCA_116445,395,True
cg03135351,,20037,False
cg09623400,,40954,False
cg05604079,,149372,False
cg01085569,,23845,False
cg01923218,,21403,False
cg06740372,,20452,False
cg00204249,,9824,False
cg04122815,BRCA_59486,56,True
cg08755784,,14287,False
cg00084338,,10533,False
cg04110601,,5813,False
cg09182533,BRCA_129560,383,True
cg04034767,,4907,False
cg01445580,,41565,False
cg09172244,,16703,False
cg08910705,,7695,False
cg02693150,,6300,False
cg10834205,BRCA_141206,516,True
cg02511231,,6414,False
cg08828819,BRCA_88012,1034,True
cg03352287,,13553,False
cg05223720,,17843,False
cg09024126,BRCA_51106,1532,True
cg03507326,BRCA_164901,1876,True
cg02223801,,6019,False
cg05638439,BRCA_164285,678,True
cg08640923,,2350,False
cg10800833,,19738,False
cg01898377,BRCA_201878,173,True
cg08769966,BRCA_162821,1419,True
cg06271630,,3184,False
cg10888337,BRCA_211447,951,True
cg01558923,,21813,False
cg00846114,BRCA_169094,86,True
cg02527669,,34593,False
cg05063520,,25175,False
cg10862567,BRCA_183518,1721,True
cg03819134,BRCA_57410,494,True
cg06879394,BRCA_68166,182,True
cg00870269,,10627,False
cg01139508,BRCA_40196,1537,True
cg03533472,BRCA_167773,30,True
cg11955385,,39305,False
cg09289202,,340370,False
cg09479389,BRCA_191613,972,True
cg09143801,,20639,False
cg02723291,BRCA_138930,732,True
cg11945507,BRCA_106256,1310,True
cg01088410,,5509,False
cg08886651,BRCA_207969,862,True
cg06186698,,7678,False
cg04796181,BRCA_69693,33,True
cg09354241,,3648,False
cg04442576,,29698,False
cg05621343,,4137,False
cg05447008,,20925,False
cg07191900,BRCA_207810,1939,True
cg03599978,,3373,False
cg07149296,,2004,False
cg02533339,,2765,False
cg09134794,BRCA_92040,201,True
cg05064297,,6852,False
cg05529686,,12885,False
cg03453916,,18637,False
cg05183931,,13648,False
cg05296099,,15245,False
cg09173621,,133733,False
cg08957652,,3633,False
cg10140309,,6770,False
cg01288184,,208647,False
cg07118895,,10280,False
cg03774803,,56020,False
cg07005020,,57532,False
cg04246763,,25116,False
cg08908184,,21483,False
cg02245004,,57835,False
cg00519002,BRCA_168523,1032,True
cg04055739,,12711,False
cg07671805,,4112,False
cg01066220,BRCA_70193,478,True
cg03289872,,13684,False
cg01697719,,2773,False
cg03817667,,28214,False
cg07642043,,6315,False
cg04462627,,2907,False
cg03207574,,39060,False
cg09641248,,5363,False
cg02976723,BRCA_67158,185,True
cg10014470,BRCA_20863,875,True
cg07028533,,246827,False
cg01817521,,45203,False
cg10259748,,2662,False
cg11372436,BRCA_51316,1527,True
cg02767633,,6544,False
cg04849541,BRCA_57563,191,True
cg03192598,,8859,False
cg11528328,,2515,False
cg10148473,,22148,False
cg05719164,,5885,False
cg05882699,BRCA_124968,1335,True
cg11162118,,10838,False
cg00092518,,9988,False
cg00656735,BRCA_71572,95,True
cg02074274,,14000,False
cg02840179,,97443,False
cg03313945,,9830,False
cg01063579,BRCA_170639,1716,True
cg01940425,,52168,False
cg09619309,,2690,False
cg10740573,BRCA_157197,1109,True
cg01500945,,18309,False
cg06204735,,6743,False
cg02287693,,3756,False
cg01476568,,10875,False
cg03904209,,13074,False
cg01492330,,2920,False
cg04285033,BRCA_207621,207,True
cg01814027,,59463,False
cg08492145,,7546,False
cg04726821,,20855,False
cg01713438,BRCA_14048,1014,True
cg07628855,,5959,False
cg03317517,,20730,False
cg11795832,,2085,False
cg01793449,,3354,False
cg03612722,,4471,False
cg03393769,BRCA_26166,1645,True
cg03158400,,3771,False
cg03262885,,19234,False
cg04667114,,12833,False
cg08858437,,10048,False
cg06744481,,37527,False
cg02012703,,13903,False
cg05493761,,11210,False
cg07312880,BRCA_32997,126,True
cg00065215,BRCA_2285,1157,True
cg01798157,BRCA_16395,440,True
cg06433467,,22100,False
cg01089498,BRCA_50894,62,True
cg10791959,,10974,False
cg06734406,,22514,False
cg00490976,,2070,False
cg04781584,,2587,False
cg06744585,BRCA_191349,1024,True
cg07211212,,26368,False
cg03738707,,6710,False
cg11412466,BRCA_57613,462,True
cg11414560,BRCA_203715,257,True
cg10321156,,4465,False
cg03801902,,2219,False
cg05842348,,3908,False
cg01919374,,11213,False
cg00405688,,2270,False
cg01311360,,2245,False
cg04074004,BRCA_70193,256,True
cg08260959,BRCA_69433,248,True
cg01959562,,179598,False
cg09258813,BRCA_94964,807,True
cg05037927,,51796,False
cg02571816,,8981,False
cg05804220,,8501,False
cg08551725,BRCA_84209,81,True
cg08205639,BRCA_59487,263,True
cg04701618,,2114,False
cg01447112,,2558,False
cg02609127,,2631,False
cg11388673,BRCA_107097,563,True
cg02768721,,45927,False
cg01176363,BRCA_204068,21,True
cg11647481,,5611,False
cg05385164,,7806,False
cg04804377,,30370,False
cg08420572,,4155,False
cg10659382,BRCA_92022,28,True
cg11532431,BRCA_83924,397,True
cg09938511,,5601,False
cg03278146,BRCA_184621,121,True
cg09500443,,3731,False
cg05542646,BRCA_170813,1098,True
cg04990202,BRCA_11166,1331,True
cg07721822,BRCA_19587,843,True
cg08511651,BRCA_69313,137,True
cg04016730,,3640,False
cg10505610,,26747,False
cg03899054,,3139,False
cg09339194,,64556,False
cg05330472,BRCA_130297,1232,True
cg00279790,,6291,False
cg08774368,,10688,False
cg02984614,,3392,False
cg06776173,,7975,False
cg07185425,,5871,False
cg02478448,,5284,False
cg03081173,,3134,False
cg04797323,BRCA_143751,1846,True
cg01676795,,20908,False
cg00421139,,6341,False
cg01361351,,3204,False
cg04800142,,3107,False
cg07084627,,15147,False
cg06829830,BRCA_61150,37,True
cg11891579,,3874,False
cg10890302,,5652,False
cg02693127,,17933,False
cg07293584,,8412,False
cg03063639,,6547,False
cg05528899,,56166,False
cg09734791,,8938,False
cg11564981,BRCA_67386,402,True
cg04080282,BRCA_88012,764,True
cg11723801,,3478,False
cg10061374,,93079,False
cg09383172,,22309,False
cg03656863,BRCA_98603,388,True
cg10182317,,144865,False
cg08530838,,138410,False
cg09473315,,12364,False
cg06192497,,51819,False
cg01915516,BRCA_551,1723,True
cg07413251,,3336,False
cg06613095,,6435,False
cg07438617,,65249,False
cg05166028,BRCA_92232,883,True
cg06747432,,7817,False
cg03290977,BRCA_51052,1615,True
cg00565688,BRCA_551,1754,True
cg01759870,BRCA_157197,1299,True
cg01563704,BRCA_69452,325,True
cg01216438,BRCA_161360,731,True
cg10648670,,6238,False
cg04032226,,6121,False
cg05460318,,3667,False
cg09540629,,1194392,False
cg00650809,,11156,False
cg02305765,,8376,False
cg08819022,,2222,False
cg00063174,,4466,False
cg05965392,,6945,False
cg04387835,,5560,False
cg02017926,,3415,False
cg05835105,,98859,False
cg11306441,,4593,False
cg04696181,,31560,False
cg01925738,,12384,False
cg05157140,,17252,False
cg00937286,,6122,False
cg10678266,,33645,False
cg06546066,,2964,False
cg00933542,BRCA_80080,947,True
cg11254700,,6302,False
cg05009389,,2400,False
cg03020810,,21493,False
cg11730559,BRCA_102927,1711,True
cg06429214,,4207,False
cg10292154,BRCA_167083,318,True
cg04017512,BRCA_118400,353,True
cg08843517,BRCA_170857,1996,True
cg11267630,BRCA_177681,443,True
cg08613144,,2594,False
cg04976324,,39233,False
cg07015803,BRCA_156216,1161,True
cg10837783,BRCA_4041,276,True
cg10128806,,37873,False
cg08543966,BRCA_193910,443,True
cg05636047,,4709,False
cg03257575,,2580,False
cg04703620,,5417,False
cg05583676,,2054,False
cg07565505,BRCA_57556,277,True
cg11631265,,11449,False
cg00074145,,3238,False
cg05385718,,589711,False
cg04962865,,9862,False
cg01984854,,20016,False
cg04550052,,16992,False
cg05728754,BRCA_140109,1899,True
cg01739725,,17534,False
cg00955911,,8129,False
cg03036557,,50683,False
cg04657146,BRCA_191121,1804,True
cg11478200,BRCA_66810,123,True
cg07093674,,27963,False
cg04358834,,22951,False
cg00741836,BRCA_202686,739,True
cg02990291,,29316,False
cg03672342,,9133,False
cg03585778,BRCA_16956,956,True
cg10071035,BRCA_97869,334,True
cg01971137,BRCA_172441,1377,True
cg05530568,,6798,False
cg00737846,,13044,False
cg09467501,,5320,False
cg06240450,,5806,False
cg01688536,,39185,False
cg02823783,,2179,False
cg09852127,,4846,False
cg09059945,,7603,False
cg05467012,,31479,False
cg02789515,,1468752,False
cg08436089,,3374,False
cg05377226,,6963,False
cg04741516,,7141,False
cg08573435,,14927,False
cg07249459,,9576,False
cg01110759,,4260,False
cg00303982,,481491,False
cg06621691,BRCA_82320,380,True
cg05933904,,6655,False
cg00330929,BRCA_188944,226,True
cg04111078,,9903,False
cg07584066,,14578,False
cg03853208,BRCA_83739,104,True
cg01263386,,13276,False
cg00765922,BRCA_12014,841,True
cg09194159,,64950,False
cg08535928,,4397,False
cg08360511,,9476,False
cg10370591,,45722,False
cg07352438,BRCA_184640,486,True
cg05659187,BRCA_27529,58,True
cg06310816,,3572,False
cg05033333,,6615,False
cg05864326,,23329,False
cg00174428,,16859,False
cg08944961,,9739,False
cg04178787,,261548,False
cg06878499,,7883,False
cg07382454,BRCA_192905,927,True
cg03315869,,3714,False
cg02077216,,25647,False
cg01048962,,5088,False
cg10586082,,4269,False
cg10236452,BRCA_17496,212,True
cg10009968,,5229,False
cg09062550,,17385,False
cg00295572,BRCA_551,1730,True
cg08479476,,8394,False
cg07182669,BRCA_66973,215,True
cg01218903,,3219,False
cg08128768,,8413,False
cg03292377,,2476,False
cg04772025,,4561,False
cg08521684,,26294,False
cg04202892,,8454,False
cg02800571,,6848,False
cg00951395,,3912,False
cg01640437,,9874,False
cg03432275,,20870,False
cg01021547,BRCA_82320,1943,True
cg10626816,BRCA_4607,1031,True
cg10213875,,9755,False
cg01704474,BRCA_125435,464,True
cg04892724,,28678,False
cg07724309,BRCA_67387,617,True
cg07541200,BRCA_59481,55,True
cg01899253,,53930,False
cg11135108,,2538,False
cg08621778,BRCA_16142,567,True
cg04865180,BRCA_147131,1131,True
cg06972969,,7293,False
cg04367486,,8189,False
cg09602288,BRCA_67808,204,True
cg06530490,BRCA_30285,69,True
cg08002883,,43596,False
cg07173972,,45074,False
cg06917617,BRCA_17421,240,True
cg01856529,BRCA_141210,354,True
cg10526374,,2108,False
cg08584377,BRCA_82491,1441,True
cg01718116,,309665,False
cg10171448,,812474,False
cg03675258,,4075,False
cg08418111,,13188,False
cg08236767,,37221,False
cg08640634,,5850,False
cg11942956,,5107,False
cg05754853,BRCA_102963,1945,True
cg08379987,,24024,False
cg04505435,BRCA_131642,1275,True
cg00598009,,24756,False
cg06598836,,41094,False
cg05646373,BRCA_69330,77,True
cg00783553,,25048,False
cg07791427,,3224,False
cg11002404,,24524,False
cg08555594,,50793,False
cg03036592,,2013,False
cg10172783,,6477,False
cg08879470,BRCA_132579,1780,True
cg01912921,BRCA_66813,1375,True
cg10336039,,4877,False
cg08569799,BRCA_57556,195,True
cg06817490,,45564,False
cg03072621,,34783,False
cg09267188,,3484,False
cg11241541,BRCA_95570,424,True
cg09978023,BRCA_15408,656,True
cg04819351,,11632,False
cg00269800,BRCA_63741,666,True
cg08105965,BRCA_209025,817,True
cg02072885,,9701,False
cg11145160,,2721,False
cg11671913,BRCA_59477,310,True
cg06973595,,29405,False
cg03561071,BRCA_134223,1871,True
cg10604476,BRCA_190409,312,True
cg01866431,,249731,False
cg08079908,,56202,False
cg05823605,,3599,False
cg11274314,,376892,False
cg06970744,BRCA_9167,266,True
cg05931423,,10372,False
cg00994306,BRCA_164445,1473,True
cg01972576,BRCA_106830,156,True
cg05454501,BRCA_60934,674,True
cg05253110,BRCA_91081,1984,True
cg09461999,,4119,False
cg06511389,,3890,False
cg07275979,,24863,False
cg03469862,BRCA_131061,213,True
cg10363661,BRCA_171006,2,True
cg10534873,,6341,False
cg00825951,,10018,False
cg04008703,,2815,False
cg05670953,,20743,False
cg07297397,,3832,False
cg07385423,,4011,False
cg01364826,,4990,False
cg00848945,BRCA_137109,469,True
cg01994205,,4832,False
cg00157796,,4703,False
cg06945523,BRCA_152318,484,True
cg02407342,BRCA_177160,632,True
cg10596483,,5584,False
cg09696939,,4076,False
cg06272038,,2095,False
cg08211068,,7050,False
cg04948892,,23994,False
cg08154107,,2438,False
cg01602153,BRCA_97969,276,True
cg01543184,,8645,False
cg10118513,,12901,False
cg02970919,,6719,False
cg07776993,,521482,False
cg11916729,,3632,False
cg09858188,,21832,False
cg04920358,,113618,False
cg11552829,,37425,False
cg01235820,,2875,False
cg05106294,,13338,False
cg05904716,BRCA_66484,1013,True
cg04215055,,3258,False
cg06782035,BRCA_58324,171,True
cg03217173,BRCA_122812,798,True
cg09308026,,4523,False
cg01574513,,37005,False
cg11079613,BRCA_183359,952,True
cg06490869,,5297,False
cg03757805,,3409,False
cg06299833,,6135,False
cg00673344,,4974,False
cg08496953,,3493,False
cg02320862,BRCA_182119,426,True
cg04258696,BRCA_82320,867,True
cg07886472,,11837,False
cg04638468,,13935,False
cg05478631,,5400,False
cg07405182,,4400,False
cg04599403,BRCA_57408,271,True
cg02481848,,16098,False
cg10629165,,3443,False
cg06905692,BRCA_24238,1691,True
cg10413105,,7443,False
cg10627839,,4900,False
cg01500844,BRCA_190800,502,True
cg03648334,,17720,False
cg00680551,BRCA_102070,636,True
cg03380809,,7981,False
cg04935121,BRCA_129560,41,True
cg11062466,BRCA_97840,227,True
cg02259324,,2184,False
cg05369553,,104714,False
cg00386586,,564598,False
cg06206957,,17172,False
cg10019916,,4408,False
cg06282596,,4970,False
cg10113526,,8288,False
cg05534148,,14884,False
cg08699341,,26285,False
cg04308185,,168233,False
cg09300114,,5745,False
cg08243626,,32009,False
cg11671688,,15581,False
cg07811110,,10801,False
cg02598319,,2894,False
cg11862731,,11257,False
cg08328513,,4543,False
cg00002719,,28104,False
cg06382028,,18375,False
cg09272923,,15926,False
cg00343312,,64298,False
cg07082012,,10238,False
cg08839267,,26706,False
cg00056066,,5192,False
cg07863022,BRCA_182090,1069,True
cg11691825,BRCA_14290,1737,True
cg09495977,BRCA_50706,1839,True
cg09137696,,4288,False
cg10297491,,24163,False
cg11328303,,12577,False
cg08408994,,5606,False
cg03733207,BRCA_200496,1738,True
cg02926868,BRCA_130252,1327,True
cg01682504,BRCA_141561,1321,True
cg11439596,BRCA_57562,136,True
cg05950877,BRCA_190857,728,True
cg09848508,,13172,False
